Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
25102,25102,24508,24508,560370,VIC,0.0,0.0,0.0
24400,24562,24292,24508,346630,VIC,0.0,0.0,0.0
24508,24832,24184,24292,1073480,VIC,-0.008813448669822144,0.0,0.0
24130,24238,24076,24076,434350,VIC,-0.008891816235797823,0.0,0.0
24400,24454,24238,24292,488110,VIC,0.008971589965110383,0.0,0.0
24292,24346,23806,23806,5451040,VIC,-0.02000658653054499,0.0,0.0
24130,24616,24130,24400,1039980,VIC,0.024951692850541773,0.0,0.0
24400,24616,24238,24562,657090,VIC,0.006639344262295177,0.0,0.0
24292,24616,24076,24508,1615870,VIC,-0.002198518035990582,0.0,0.0
24508,24562,24292,24346,510060,VIC,-0.006610086502366608,0.0,0.0
24292,24832,24292,24724,1257200,VIC,0.015526164462334568,0.0,0.0
24886,25263,24778,25210,820660,VIC,0.019657013428247883,0.0,0.0
25371,25587,25156,25263,1482760,VIC,0.0021023403411344344,0.0,0.0
24778,25371,24778,25371,650730,VIC,0.004275026718916886,0.0,0.0
25048,25695,25048,25479,1398070,VIC,0.004256828662646317,0.0,0.0
25479,25587,25263,25479,548420,VIC,0.0,0.0,0.0
25533,25533,25263,25425,351710,VIC,-0.0021193924408335896,0.0,0.0
25425,25533,25102,25425,323780,VIC,0.0,0.0,0.0
25425,25695,25317,25695,547050,VIC,0.010619469026548645,0.0,0.0
25695,25749,25425,25479,289730,VIC,-0.008406304728546421,0.0,0.0
25479,25695,25317,25641,600280,VIC,0.006358177322500991,26066.30103983676,23731.79896016324
25641,27261,25641,27261,1288260,VIC,0.0631800631800632,26576.785205435077,23496.614794564925
28071,28341,27531,28071,1157120,VIC,0.02971277649389248,27215.50771099343,23235.792289006575
27801,28610,27261,28071,807840,VIC,0.0,27695.817970330576,23154.982029669427
28071,29420,27801,28341,1075850,VIC,0.009618467457518376,28164.398700498376,23091.30129950162
28341,29420,28071,28071,1549470,VIC,-0.009526833915528776,28445.355356143096,23236.8446438569
28071,28071,26829,26829,1021510,VIC,-0.04424495030458475,28512.64431002071,23412.455689979288
26829,27531,26829,27261,1417390,VIC,0.01610197920161016,28622.380472418452,23572.619527581548
27801,28341,27261,27801,1196330,VIC,0.019808517662594838,28780.41593313733,23743.884066862673
27801,29690,27801,29420,1729690,VIC,0.058235315276429,29225.88426362104,23805.815736378958
29960,30230,28341,28341,1404690,VIC,-0.03667573079537734,29386.969138952467,24006.430861047535
28341,29420,28341,29150,724510,VIC,0.028545217176528803,29694.41291638398,24092.987083616023
29690,29690,28071,28610,974580,VIC,-0.01852487135505998,29851.97626022259,24270.12373977741
28610,28880,28071,28071,520580,VIC,-0.0188395665851101,29906.975190778983,24485.124809221015
28341,28610,28071,28341,421970,VIC,0.009618467457518376,29973.487660589486,24704.812339410517
27801,28341,27531,27531,755160,VIC,-0.028580501746586218,29934.330500204574,24949.169499795426
27801,28610,27801,27801,413180,VIC,0.00980712651193194,29877.63001372419,25243.46998627581
28071,28341,28071,28341,813560,VIC,0.019423761735189338,29826.145959520658,25586.55404047934
28610,28610,28071,28071,786590,VIC,-0.009526833915528776,29736.842786511508,25913.457213488495
28071,28071,27531,28071,698580,VIC,0.0,29535.442617177716,26374.057382822284
28071,28880,28071,28880,865680,VIC,0.028819778419008957,29339.077863019513,26894.32213698049
29150,29420,28880,28880,469130,VIC,0.0,29396.84844479559,26998.451555204414
29150,29150,28610,28880,793060,VIC,0.0,29471.568426835544,27004.631573164454
28880,29960,28610,29690,1233650,VIC,0.02804709141274242,29701.530014322147,26936.569985677852
29960,29960,29420,29420,518280,VIC,-0.009093971034018211,29836.533532243167,26909.466467756833
29420,29420,28880,28880,586250,VIC,-0.01835486063902103,29886.05130042051,26940.848699579492
29420,29420,28610,28880,623940,VIC,0.0,29807.482094339746,27224.517905660254
28880,29150,27801,27801,1554880,VIC,-0.03736149584487536,29748.093357379494,27337.906642620506
28071,28071,27261,28071,1410160,VIC,0.009711880867594669,29733.7701474174,27379.2298525826
28610,28610,27801,28071,471240,VIC,0.0,29614.120037819946,27363.979962180052
28071,28341,27801,28071,283630,VIC,0.0,29613.804360852693,27337.295639147305
28071,28071,27261,27531,611130,VIC,-0.019236934915036863,29559.447526503005,27229.752473496992
27531,28071,27531,27801,383940,VIC,0.00980712651193194,29542.22310801994,27166.07689198006
28071,29150,28071,28880,1078090,VIC,0.03881155354123944,29596.366100370687,27192.83389962931
28880,29150,28341,28341,418750,VIC,-0.018663434903047116,29596.366100370687,27192.83389962931
28610,28880,28341,28880,469570,VIC,0.019018383261000027,29612.70433123948,27311.395668760517
28880,29150,28610,28880,510870,VIC,0.0,29638.453562513918,27393.546437486082
28880,29150,28610,29150,345410,VIC,0.009349030470914066,29708.675407635237,27404.224592364764
29150,29420,28610,28880,295810,VIC,-0.009262435677530045,29734.829329967462,27458.97067003254
28880,29420,28880,29420,401370,VIC,0.018698060941828354,29829.19750504098,27499.50249495902
29420,30230,29150,29420,1064310,VIC,0.0,29899.18033162783,27483.519668372166
29420,29690,29150,29420,113090,VIC,0.0,29965.34900160353,27471.35099839647
29420,29690,29150,29150,170630,VIC,-0.009177430319510571,29991.34025800131,27472.359741998687
28880,28880,28341,28341,631990,VIC,-0.027753001715265846,29853.963012202465,27474.83698779754
28341,28880,28341,28880,278210,VIC,0.019018383261000027,29780.752334147353,27494.04766585265
29150,29420,28610,28880,311910,VIC,0.0,29780.752334147353,27494.04766585265
28880,29150,28610,28880,455360,VIC,0.0,29780.752334147353,27494.04766585265
28610,28880,28071,28071,3234450,VIC,-0.028012465373961182,29760.302704161208,27541.497295838795
28341,29150,28071,28880,231660,VIC,0.028819778419008957,29771.845307717806,27610.85469228219
29150,29420,28880,29150,333390,VIC,0.009349030470914066,29804.04115816861,27686.55884183139
29150,29150,28341,28341,464600,VIC,-0.027753001715265846,29789.31416293043,27728.28583706957
28610,28880,28341,28610,291630,VIC,0.00949154934547125,29680.647891459714,27944.852108540286
28341,28610,26667,28071,1143290,VIC,-0.0188395665851101,29637.31642761257,28015.18357238743
29330,29330,28730,29030,527320,VIC,0.03416337145096371,29649.426866167123,28018.073133832877
29030,29030,28610,28610,414530,VIC,-0.014467791939373087,29638.43791617959,28055.96208382041
28610,29090,28610,28790,625710,VIC,0.0062915064662705245,29634.16423797934,28051.23576202066
29090,30590,28910,29630,814400,VIC,0.029176797499131712,29743.032915459433,28017.36708454057
30290,30890,29930,30590,888200,VIC,0.0323995950050624,30089.683819665242,27814.71618033476
30890,31190,30590,30590,459790,VIC,0.0,30379.364503518016,27696.035496481985
30890,31490,30590,30590,579190,VIC,0.0,30592.55257877288,27599.84742122712
30590,30890,30290,30590,528660,VIC,0.0,30782.79718383156,27526.60281616844
30890,31190,30290,30890,640510,VIC,0.00980712651193194,31021.874396316194,27434.525603683807
31190,31190,30590,30890,718620,VIC,0.0,31248.612692624178,27381.787307375824
30890,31190,30290,30590,632350,VIC,-0.009711880867594669,31382.826337315968,27472.473662684035
30590,31190,30590,31190,1001810,VIC,0.019614253023864103,31624.14613406664,27462.153865933364
31490,32989,31490,32989,1578230,VIC,0.05767874318691879,32287.99539260831,27209.204607391686
32989,33289,32089,32089,973530,VIC,-0.027281821213131607,32609.0784054062,27209.0215945938
32389,32689,31789,32689,373250,VIC,0.018697996198073996,32958.96276868346,27320.937231316544
32689,32689,32089,32389,519810,VIC,-0.00917739912508797,33233.93603027278,27396.863969727223
32389,32689,30290,31190,1550450,VIC,-0.0370187409305629,33308.34969862853,27526.45030137147
31190,31490,29990,29990,1193970,VIC,-0.038473869830073726,33239.310696925655,27760.389303074342
30290,30890,29930,30290,622420,VIC,0.010003334444814937,33185.9494811883,27981.7505188117
30290,30590,29750,29990,628770,VIC,-0.009904258831297419,33033.891043269236,28325.708956730767
30290,30590,29990,30290,148890,VIC,0.010003334444814937,32981.524958542344,28504.075041457654
30290,30590,29870,30290,266140,VIC,0.0,32855.3225756694,28798.277424330594
30290,30590,29990,30590,335420,VIC,0.009904258831297419,32723.456536257083,29110.143463742916
30890,31789,30590,31490,528660,VIC,0.029421379535796044,32731.413382847742,29288.186617152256
31490,31490,30590,30590,359260,VIC,-0.028580501746586218,32731.413382847742,29288.186617152256
30890,31190,30290,30890,460650,VIC,0.00980712651193194,32736.7219141072,29312.8780858928
30290,31190,30290,30590,1349020,VIC,-0.009711880867594669,32736.7219141072,29312.8780858928
29990,30290,29390,29570,1214100,VIC,-0.033344230140568865,32791.97244506687,29155.627554933126
