Open,High,Low,Close,Volume,Ticker,Change
12030,12030,9360,9360,7100,PPH,
9580,9580,9230,9230,3900,PPH,-0.01388888888888884
9130,9130,9080,9080,700,PPH,-0.01625135427952329
9080,9080,9080,9080,0,PPH,0.0
8460,8460,8460,8460,2700,PPH,-0.06828193832599116
7890,8870,7890,8870,20100,PPH,0.048463356973995175
7710,7710,7570,7570,20700,PPH,-0.1465614430665163
7790,8690,7570,8640,2700,PPH,0.14134742404227207
9230,9230,9230,9230,100,PPH,0.06828703703703698
8770,8770,8770,8770,100,PPH,-0.04983748645720476
8460,8460,8460,8460,100,PPH,-0.03534777651083243
8460,8460,8460,8460,0,PPH,0.0
8020,8020,7360,7360,17500,PPH,-0.1300236406619385
8380,8380,7360,7670,1900,PPH,0.04211956521739135
7570,7620,7360,7360,5500,PPH,-0.04041720990873532
7270,7770,7270,7770,300,PPH,0.05570652173913038
7440,7440,7160,7160,2800,PPH,-0.0785070785070785
7220,7220,7160,7160,1200,PPH,0.0
7570,7570,7570,7570,20000,PPH,0.0572625698324023
7670,7670,7670,7670,100,PPH,0.013210039630118908
7670,7670,7670,7670,1500,PPH,0.0
7670,7670,7670,7670,500,PPH,0.0
7790,7790,7670,7670,25700,PPH,0.0
7670,7790,7670,7790,13600,PPH,0.015645371577575062
7570,7830,7570,7830,2200,PPH,0.005134788189987249
7620,7620,7620,7620,0,PPH,-0.026819923371647514
8280,8280,8280,8280,100,PPH,0.08661417322834652
8280,8280,8280,8280,0,PPH,0.0
7670,7670,7670,7670,20800,PPH,-0.07367149758454106
7670,7670,7670,7670,0,PPH,0.0
7670,7670,7670,7670,9500,PPH,0.0
7670,7670,7670,7670,0,PPH,0.0
7670,8730,7670,8600,2100,PPH,0.12125162972620607
7830,7830,7830,7830,0,PPH,-0.08953488372093021
9010,9010,7830,7830,8100,PPH,0.0
7570,7570,7570,7570,1000,PPH,-0.033205619412515985
7570,7570,7570,7570,1000,PPH,0.0
7570,7570,7570,7570,500,PPH,0.0
7570,7570,7570,7570,0,PPH,0.0
